Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785324619,20,GET,/health,1.800000,0.000000,1400,1600,1700,1700,1900,2100,2100,2100,2100,2100,2100,45,0,1400,1449.0710066657307,172.16859990730882,4045.9925000322983,135.0
1785324619,20,POST,/predict,8.000000,0.000000,790,990,1100,1200,1200,1500,1600,1700,1700,1700,1700,214,0,810,987.8393929907573,106.1095999320969,4119.076099945232,224.14953271028037
1785324619,20,,Aggregated,9.800000,0.000000,830,1000,1200,1200,1500,1700,1900,2100,2100,2100,2100,259,0,850,1067.9761598454825,106.1095999320969,4119.076099945232,208.66023166023166
1785324620,20,GET,/health,1.900000,0.000000,1400,1700,1700,1700,1900,2100,2100,2100,2100,2100,2100,48,0,1400,1458.100133332967,172.16859990730882,4045.9925000322983,135.0
1785324620,20,POST,/predict,7.800000,0.000000,720,900,1000,1100,1200,1300,1500,1500,1500,1500,1500,222,0,820,984.3947761267348,106.1095999320969,4119.076099945232,224.13513513513513
1785324620,20,,Aggregated,9.700000,0.000000,830,1000,1200,1200,1500,1700,1900,2100,2100,2100,2100,270,0,850,1068.6090618522871,106.1095999320969,4119.076099945232,208.2888888888889
1785324621,20,GET,/health,1.600000,0.000000,1400,1600,1700,1700,1900,1900,2100,2100,2100,2100,2100,50,0,1400,1444.1957119992003,172.16859990730882,4045.9925000322983,135.0
1785324621,20,POST,/predict,7.200000,0.000000,660,830,990,1000,1200,1200,1300,1500,1500,1500,1500,231,0,810,972.7752580099792,106.1095999320969,4119.076099945232,224.12121212121212
1785324621,20,,Aggregated,8.800000,0.000000,740,970,1100,1200,1400,1700,1900,2100,2100,2100,2100,281,0,840,1056.6579010685593,106.1095999320969,4119.076099945232,208.26334519572953
1785324622,20,GET,/health,1.600000,0.000000,1200,1500,1700,1700,1900,2100,2100,2100,2100,2100,2100,51,0,1400,1436.1930019610252,172.16859990730882,4045.9925000322983,135.0
1785324622,20,POST,/predict,7.200000,0.000000,620,800,930,1000,1200,1200,1200,1300,1300,1300,1300,233,0,810,967.8610673827786,106.1095999320969,4119.076099945232,224.11158798283262
1785324622,20,,Aggregated,8.800000,0.000000,670,940,1100,1200,1400,1700,1900,2100,2100,2100,2100,284,0,840,1051.9629288739427,106.1095999320969,4119.076099945232,208.10915492957747
1785324623,20,GET,/health,2.100000,0.000000,1400,1600,1700,1700,1700,1900,1900,1900,1900,1900,1900,53,0,1400,1438.9783509431477,172.16859990730882,4045.9925000322983,135.0
1785324623,20,POST,/predict,7.700000,0.000000,660,890,1000,1000,1200,1200,1300,1400,1400,1400,1400,247,0,810,962.4338983822056,106.1095999320969,4119.076099945232,224.08097165991902
1785324623,20,,Aggregated,9.800000,0.000000,800,1000,1100,1200,1400,1600,1700,1900,1900,1900,1900,300,0,850,1046.6234183346387,106.1095999320969,4119.076099945232,208.34333333333333
